Test miscellaneous vector instructions


Throughput unaligned read movdqu xmm,[m]

     Clock   Core cyc   Instruct   uops RAT       Uops     uop p0   Mov elim 
      8754      10003      10211      10145      20111          0          0 
      8760      10002      10211      10145      20111          0          0 
      8768       9999      10211      10117      20111          0          0 
      8773       9999      10211      10117      20111          0          0 
      8783       9999      10211      10117      20111          0          0 
      8790       9999      10211      10117      20111          0          0 
      8778       9999      10211      10117      20111          0          0 
      8769       9998      10211      10117      20111          0          0 


Latency unaligned write+read vmovdqu [m],xmm / vmovdqu xmm,[m]

     Clock   Core cyc   Instruct   uops RAT       Uops     uop p0   Mov elim 
      4744       5417      10211      10139      10111          0          0 
      4413       5034      10211      10153      10111          0          0 
      4417       5040      10211      10153      10111          0          0 
      4405       5018      10211      10126      10111          0          0 
      4411       5022      10211      10126      10111          0          0 
      4409       5019      10211      10126      10111          0          0 
      4412       5020      10211      10126      10111          0          0 
      4407       5022      10211      10126      10111          0          0 
      4405       5018      10211      10126      10111          0          0 
      4403       5021      10211      10126      10111          0          0 


Throughput unaligned read vmovups xmm,[m]

     Clock   Core cyc   Instruct   uops RAT       Uops     uop p0   Mov elim 
      4793       5455      10211      10136      10111          0          0 
      4425       5037      10211      10152      10111          0          0 
      4429       5037      10211      10152      10111          0          0 
      4427       5040      10211      10153      10111          0          0 
      4425       5038      10211      10153      10111          0          0 
      4407       5020      10211      10126      10111          0          0 
      4403       5022      10211      10126      10111          0          0 
      4399       5020      10211      10126      10111          0          0 
      4395       5019      10211      10126      10111          0          0 
      4395       5019      10211      10126      10111          0          0 


Throughput unaligned write vmovups [m],xmm

     Clock   Core cyc   Instruct   uops RAT       Uops     uop p0   Mov elim 
      9127      10394      10211      10141      20111          0          0 
      8776      10005      10211      10144      20111          0          0 
      8766      10002      10211      10144      20111          0          0 
      8756      10003      10211      10145      20111          0          0 
      8750       9999      10211      10117      20111          0          0 
      8758      10001      10211      10117      20111          0          0 
      8768      10000      10211      10117      20111          0          0 
      8773       9999      10211      10117      20111          0          0 
      8782       9999      10211      10117      20111          0          0 
      8780      10000      10211      10117      20111          0          0 


Latency unaligned write+read vmovups [m],xmm / vmovups xmm,[m]

     Clock   Core cyc   Instruct   uops RAT       Uops     uop p0   Mov elim 
      4865       5556      10211      10135      10111          0          0 
      4409       5040      10211      10153      10111          0          0 
      4391       5018      10211      10126      10111          0          0 
      4394       5021      10211      10126      10111          0          0 
      4395       5021      10211      10126      10111          0          0 
      4399       5019      10211      10126      10111          0          0 
      4401       5020      10211      10126      10111          0          0 
      4403       5022      10211      10126      10111          0          0 
      4405       5020      10211      10126      10111          0          0 
      4408       5021      10211      10126      10111          0          0 


Throughput unaligned read vmovupd xmm,[m]

     Clock   Core cyc   Instruct   uops RAT       Uops     uop p0   Mov elim 
      4724       5384      10211      10132      10111          0          0 
      4421       5042      10211      10148      10111          0          0 
      4419       5040      10211      10149      10111          0          0 
      4413       5038      10211      10153      10111          0          0 
      4393       5020      10211      10126      10111          0          0 
      4398       5022      10211      10122      10111          0          0 
      4401       5020      10211      10126      10111          0          0 
      4405       5019      10211      10126      10111          0          0 
      4403       5021      10211      10122      10111          0          0 
      4405       5021      10211      10122      10111          0          0 


Throughput unaligned write vmovupd [m],xmm

     Clock   Core cyc   Instruct   uops RAT       Uops     uop p0   Mov elim 
      9123      10391      10211      10131      20111          0          0 
      8790      10005      10211      10144      20111          0          0 
      8783      10003      10211      10145      20111          0          0 
      8772      10003      10211      10145      20111          0          0 
      8762       9999      10211      10117      20111          0          0 
      8750       9999      10211      10117      20111          0          0 
      8752      10000      10211      10117      20111          0          0 
      8762      10000      10211      10117      20111          0          0 
      8772      10001      10211      10117      20111          0          0 
      8781      10000      10211      10117      20111          0          0 


Latency unaligned write+read vmovupd [m],xmm / vmovupd xmm,[m]

     Clock   Core cyc   Instruct   uops RAT       Uops     uop p0   Mov elim 
      4756       5427      10211      10139      10111          0          0 
      4411       5038      10211      10152      10111          0          0 
      4407       5035      10211      10153      10111          0          0 
      4413       5042      10211      10153      10111          0          0 
      4395       5020      10211      10126      10111          0          0 
      4403       5023      10211      10126      10111          0          0 
      4403       5019      10211      10126      10111          0          0 
      4407       5022      10211      10126      10111          0          0 
      4411       5023      10211      10126      10111          0          0 
      4411       5019      10211      10126      10111          0          0 


Throughput ptest xmm,xmm

     Clock   Core cyc   Instruct       Uops     uop p0     uop p1     uop p2 
      8957      10223      10211      20111      10000          0          0 
      8769       9995      10211      20115      10000          0          0 
      8782       9997      10211      20115      10000          0          0 
      8780       9997      10211      20115      10000          0          0 
      8770       9997      10211      20115      10000          0          0 
      8757       9997      10211      20115      10000          0          0 
      8749       9997      10211      20115      10000          0          0 
      8743       9997      10211      20115      10000          0          0 
      8751       9997      10211      20115      10000          0          0 
      8763       9998      10211      20115      10000          0          0 

     Clock   Core cyc   Instruct       Uops     uop p3     uop p4     uop p5 
      9545      10879      10211      20111          0          0      10001 
      8757       9996      10211      20115          0          0      10001 
      8751       9998      10211      20115          0          0      10001 
      8745       9998      10211      20115          0          0      10001 
      8763      10003      10211      20115          0          0      10001 
      8770      10003      10211      20115          0          0      10001 
      8780      10002      10211      20115          0          0      10001 
      8790      10001      10211      20115          0          0      10001 
      8777      10000      10211      20115          0          0      10001 
      8770      10001      10211      20115          0          0      10001 

     Clock   Core cyc   Instruct       Uops     uop p6     uop p7   uops RAT 
      8992      10250      10211      20111        102          0      20129 
      8787       9999      10211      20115        109          0      20161 
      8792       9999      10211      20115        109          0      20164 
      8784       9997      10211      20115        105          0      20150 
      8773      10000      10211      20115        107          0      20161 
      8765      10000      10211      20115        100          0      20134 
      8757      10001      10211      20115        100          0      20134 
      8759      10001      10211      20115        100          0      20134 
      8765      10001      10211      20115        100          0      20134 
      8776      10001      10211      20115        100          0      20134 


Latency ptest xmm,xmm / sbb / movd 

     Clock   Core cyc   Instruct   uops RAT       Uops     uop p0   Mov elim 
     84528      62543      30211      40659      40478      10825          0 
     50941      59987      30211      40115      40111      10777          0 
     50989      59987      30211      40130      40111      10767          0 
     50902      59987      30211      40140      40111      10772          0 
     50996      59987      30211      40134      40111      10773          0 
     50927      59988      30211      40115      40111      10777          0 
     50941      59987      30211      40115      40111      10777          0 
     50987      59987      30211      40115      40111      10777          0 
     50898      59987      30211      40115      40111      10777          0 
     50994      59987      30211      40115      40111      10777          0 


Throughput emms (64 bit mode)

     Clock   Core cyc   Instruct       Uops     uop p0     uop p1     uop p2 
    527219     601259     102011    1001011     500000          0          0 
    527042     601063     102011    1001011     500000          0          0 
    527050     601065     102011    1001011     500000          0          0 
    545225     603424     102011    1001378     500072         60          1 
    510540     601028     102011    1001011     500000          0          0 
    510548     601028     102011    1001011     500000          0          0 
    510558     601028     102011    1001011     500000          0          0 
    510568     601028     102011    1001011     500000          0          0 
    532977     603860     102011    1001378     500074         64          1 
    495118     601029     102011    1001011     500000          0          0 

     Clock   Core cyc   Instruct       Uops     uop p3     uop p4     uop p5 
    527236     601272     102011    1001011          0          0     400001 
    527056     601063     102011    1001011          0          0     400001 
    527063     601064     102011    1001011          0          0     400001 
    527069     601064     102011    1001011          0          0     400001 
    527038     601027     102011    1001011          0          0     400001 
    527032     601025     102011    1001011          0          0     400001 
    527028     601025     102011    1001011          0          0     400001 
    527022     601025     102011    1001011          0          0     400001 
    553834     602181     102012    1001212          3          3     400047 
    527026     601025     102011    1001011          0          0     400001 

     Clock   Core cyc   Instruct       Uops     uop p6     uop p7   uops RAT 
    510775     601305     102011    1001011     101004          0    1001027 
    510582     601066     102011    1001011     101003          0    1001025 
    510585     601064     102011    1001011     101003          0    1001025 
    510595     601065     102011    1001011     101003          0    1001025 
    510607     601063     102011    1001011     101003          0    1001025 
    510573     601026     102011    1001011     101001          0    1001021 
    510565     601025     102011    1001011     101001          0    1001021 
    530665     603455     102011    1001378     101140          2    1001490 
    495088     601029     102011    1001011     101001          0    1001021 
    495036     601028     102011    1001011     101001          0    1001021 


Throughput vzeroupper (64 bit mode)

     Clock   Core cyc   Instruct       Uops     uop p0     uop p1     uop p2 
     88136     100509     102011     401011          0          0          0 
     87965     100314     102011     401011          0          0          0 
     87965     100314     102011     401011          0          0          0 
     87936     100277     102011     401011          0          0          0 
     87930     100275     102011     401011          0          0          0 
     87932     100275     102011     401011          0          0          0 
     87930     100275     102011     401011          0          0          0 
     87930     100277     102011     401011          0          0          0 
     87926     100274     102011     401011          0          0          0 
     87933     100278     102011     401011          0          0          0 

     Clock   Core cyc   Instruct       Uops     uop p3     uop p4     uop p5 
     88132     100503     102011     401011          0          0          1 
     87969     100315     102011     401011          0          0          1 
     87933     100275     102011     401011          0          0          1 
     87930     100275     102011     401011          0          0          1 
     87930     100275     102011     401011          0          0          1 
    138025     115842     102012     401446          3          4         92 
     87934     100274     102011     401011          0          0          1 
     87932     100275     102011     401011          0          0          1 
     87932     100275     102011     401011          0          0          1 
     87933     100277     102011     401011          0          0          1 

     Clock   Core cyc   Instruct       Uops     uop p6     uop p7   uops RAT 
     85388     100515     102011     401011       1002          0     401042 
     85219     100315     102011     401011       1003          0     401043 
     85219     100316     102011     401011       1006          0     401045 
     85183     100276     102011     401011       1000          0     401036 
     85183     100276     102011     401011       1000          0     401036 
     85185     100277     102011     401011       1000          0     401036 
     85181     100276     102011     401011       1000          0     401036 
     85184     100277     102011     401011       1000          0     401036 
     85182     100276     102011     401011       1000          0     401036 
     85184     100276     102011     401011       1000          0     401036 


Throughput vzeroall (64 bit mode)

     Clock   Core cyc   Instruct       Uops     uop p0     uop p1     uop p2 
   1053350    1201276     102011    3401011     100301     199702          0 
   1053176    1201065     102011    3401011     100201     199802          0 
   1084260    1203903     102011    3401379     100334     199818          2 
   1020210    1201027     102011    3401011     100001     200002          0 
   1020246    1201063     102011    3401011     100201     199802          0 
   1051396    1207244     102012    3401646     101042     199944          4 
   1003357    1218065     102011    3401253     106645     199482          0 
    989285    1201024     102011    3401011     100001     200002          0 
   1005647    1201983     102012    3401233     100143     199992          3 
    989284    1201023     102011    3401011     100001     200002          0 

     Clock   Core cyc   Instruct       Uops     uop p3     uop p4     uop p5 
   1086234    1208840     102012    3401387          4          3     298715 
   1053178    1201061     102011    3401011          0          0     299801 
   1053164    1201063     102011    3401011          0          0     299801 
   1053168    1201064     102011    3401011          0          0     299801 
   1053186    1201063     102011    3401011          0          0     299801 
   1053168    1201026     102011    3401011          0          0     300001 
   1053174    1201026     102011    3401011          0          0     300001 
   1053160    1201025     102011    3401011          0          0     300001 
   1053140    1201027     102011    3401011          0          0     300001 
   1053127    1201026     102011    3401011          0          0     300001 

     Clock   Core cyc   Instruct       Uops     uop p6     uop p7   uops RAT 
   1088511    1201277     102011    3401011     401304          0    3401033 
   1088261    1201066     102011    3401011     401203          0    3401031 
   1229900    1324578     102012    3403356     389353          2    3405133 
   1093213    1206481     102011    3401105     400630         -2    3401220 
   1088251    1201024     102011    3401011     401001          0    3401027 
   1088250    1201026     102011    3401011     401001          0    3401027 
   1088285    1201026     102011    3401011     401001          0    3401027 
   1088220    1201026     102011    3401011     401001          0    3401027 
   1088307    1201028     102011    3401011     401001          0    3401027 
   1088210    1201026     102011    3401011     401001          0    3401027 


Throughput extractps xmm,

     Clock   Core cyc   Instruct       Uops     uop p0     uop p1     uop p2 
      8627      10180      10211      20111      10000          0          0 
      8480      10002      10211      20111      10000          0          0 
      8491      10003      10211      20111      10000          0          0 
      8507      10010      10211      20111      10000          0          0 
      8513      10008      10211      20111      10000          0          0 
      8520      10005      10211      20111      10000          0          0 
      8509      10007      10211      20111      10000          0          0 
      8501      10008      10211      20111      10000          0          0 
      8497      10010      10211      20111      10000          0          0 
      8483      10009      10211      20111      10000          0          0 

     Clock   Core cyc   Instruct       Uops     uop p3     uop p4     uop p5 
      8977      10231      10211      20111          0          0      10001 
      8770      10005      10211      20111          0          0      10001 
      8758      10003      10211      20111          0          0      10001 
      8749      10002      10211      20111          0          0      10001 
      8761      10002      10211      20111          0          0      10001 
      8767      10002      10211      20111          0          0      10001 
      8781      10006      10211      20111          0          0      10001 
      8786      10004      10211      20111          0          0      10001 
      8782      10002      10211      20111          0          0      10001 
      8773      10002      10211      20111          0          0      10001 

     Clock   Core cyc   Instruct       Uops     uop p6     uop p7   uops RAT 
      8988      10228      10211      20111        102          0      20126 
      8787      10005      10211      20111        110          0      20152 
      8782      10009      10211      20111        110          0      20149 
      8764      10005      10211      20111        110          0      20153 
      8758      10006      10211      20111        100          0      20130 
      8760      10005      10211      20111        100          0      20130 
      8766      10005      10211      20111        100          0      20130 
      8782      10011      10211      20111        100          0      20130 
      8789      10009      10211      20111        100          0      20130 
      8794      10005      10211      20111        100          0      20130 


With memory operand: extractps m128

     Clock   Core cyc   Instruct       Uops     uop p0     uop p1     uop p2 
      8695      10226      10211      30111          0          0       3292 
      8500      10006      10211      30111          0          0       3220 
      8487      10006      10211      30111          0          0       3212 
      8483      10006      10211      30111          0          0       3229 
      8489      10006      10211      30111          0          0       3216 
      8503      10012      10211      30111          0          0       3216 
      8512      10009      10211      30111          0          0       3226 
      8517      10006      10211      30111          0          0       3216 
      8517      10006      10211      30111          0          0       3224 
      8505      10006      10211      30111          0          0       3216 

     Clock   Core cyc   Instruct       Uops     uop p3     uop p4     uop p5 
      8937      10217      10211      30111       3766      10000      10001 
      8763      10005      10211      30111       3728      10000      10001 
      8773      10006      10211      30111       3710      10000      10001 
      8782      10005      10211      30111       3713      10000      10001 
      8788      10004      10211      30111       3708      10000      10001 
      8781      10002      10211      30111       3708      10000      10001 
      8771      10002      10211      30111       3708      10000      10001 
      8760      10002      10211      30111       3708      10000      10001 
      8752      10002      10211      30111       3708      10000      10001 
      8756      10006      10211      30111       3708      10000      10001 

     Clock   Core cyc   Instruct       Uops     uop p6     uop p7   uops RAT 
      8966      10215      10211      30111        101       3061      20125 
      8774      10004      10211      30111        110       3021      20148 
      8768      10005      10211      30111        110       3066      20153 
      8754      10002      10211      30111        100       3084      20126 
      8758      10008      10211      30111        100       3084      20126 
      8764      10004      10211      30111        100       3084      20126 
      8775      10002      10211      30111        100       3084      20126 
      8781      10002      10211      30111        100       3084      20126 
      8788      10002      10211      30111        100       3084      20126 
      8781      10004      10211      30111        100       3084      20126 


Latency with memory operand extractps  / movss

     Clock   Core cyc   Instruct   uops RAT       Uops     uop p0   Mov elim 
     65864      75153      20211      30116      40111          1          0 
     65774      75038      20211      30118      40111          1          0 
     56657      64574      20211      30133      40111          1          0 
     65165      74308      20211      30133      40111          1          0 
     65738      75015      20211      30114      40111          1          0 
     65759      75016      20211      30114      40111          1          0 
     65804      75017      20211      30114      40111          1          0 
     65798      75016      20211      30114      40111          1          0 
     65754      75014      20211      30114      40111          1          0 
     65740      75016      20211      30114      40111          1          0 


Latency insertps xmm,xmm,i

     Clock   Core cyc   Instruct   uops RAT       Uops     uop p0   Mov elim 
      9268      10212      10211      10135      10111          0          0 
      9070       9989      10211      10135      10111          0          0 
      9058       9988      10211      10144      10111          0          0 
      9048       9991      10211      10144      10111          0          0 
      9032       9989      10211      10119      10111          0          0 
      9032       9990      10211      10115      10111          0          0 
      9040       9989      10211      10119      10111          0          0 
      9050       9989      10211      10115      10111          0          0 
      9060       9989      10211      10119      10111          0          0 
      9072       9989      10211      10115      10111          0          0 


Throughput insertps xmm,

     Clock   Core cyc   Instruct       Uops     uop p0     uop p1     uop p2 
      9570      10935      10211      10111          0          0          0 
      8753       9989      10211      10111          0          0          0 
      8767       9992      10211      10111          0          0          0 
      8774       9991      10211      10111          0          0          0 
      8774       9990      10211      10111          0          0          0 
      8766       9992      10211      10111          0          0          0 
      8753       9991      10211      10111          0          0          0 
      8743       9989      10211      10111          0          0          0 
      8739       9990      10211      10111          0          0          0 
      8748       9991      10211      10111          0          0          0 

     Clock   Core cyc   Instruct       Uops     uop p3     uop p4     uop p5 
      9223      10179      10211      10111          0          0      10001 
      9058       9990      10211      10111          0          0      10001 
      9070       9991      10211      10111          0          0      10001 
      9062       9989      10211      10111          0          0      10001 
      9052       9990      10211      10111          0          0      10001 
      9042       9989      10211      10111          0          0      10001 
      9032       9989      10211      10111          0          0      10001 
      9034       9990      10211      10111          0          0      10001 
      9042       9989      10211      10111          0          0      10001 
      9055       9989      10211      10111          0          0      10001 

     Clock   Core cyc   Instruct       Uops     uop p6     uop p7   uops RAT 
      8660      10189      10211      10111        101          0      10126 
      8501       9990      10211      10111        100          0      10120 
      8499       9987      10211      10111        109          0      10137 
      8491       9988      10211      10111        110          0      10145 
      8481       9989      10211      10111        110          0      10146 
      8471       9989      10211      10111        100          0      10120 
      8467       9989      10211      10111        100          0      10120 
      8473       9990      10211      10111        101          0      10121 
      8481       9989      10211      10111        100          0      10120 
      8489       9989      10211      10111        100          0      10120 


With memory operand: insertps m128

     Clock   Core cyc   Instruct       Uops     uop p0     uop p1     uop p2 
      8687      10229      10211      20111          0          0       5003 
      8477       9993      10211      20111          0          0       5004 
      8467       9992      10211      20111          0          0       5004 
      8473       9993      10211      20111          0          0       5004 
      8485       9993      10211      20111          0          0       5004 
      8493       9994      10211      20111          0          0       5004 
      8499       9992      10211      20111          0          0       5004 
      8503       9995      10211      20111          0          0       5004 
      8496       9993      10211      20111          0          0       5004 
      8483       9992      10211      20111          0          0       5004 

     Clock   Core cyc   Instruct       Uops     uop p3     uop p4     uop p5 
      9264      10243      10211      20111       5003          0      10004 
      9036       9997      10211      20111       5003          0      10001 
      9046       9993      10211      20111       5004          0      10001 
      9056       9995      10211      20111       5004          0      10001 
      9068       9994      10211      20111       5004          0      10001 
      9070       9994      10211      20111       5004          0      10001 
      9066       9994      10211      20111       5004          0      10001 
      9054       9995      10211      20111       5004          0      10001 
      9044       9994      10211      20111       5004          0      10001 
      9032       9995      10211      20111       5004          0      10001 

     Clock   Core cyc   Instruct       Uops     uop p6     uop p7   uops RAT 
      9790      10893      10211      20122        115          0      20144 
      9712      10760      10211      20117         99          3      20145 
      9700      10791      10211      20113         90          1      20117 
      9432      10485      10211      20115         97          4      20139 
      9396      10427      10211      20115         91          2      20130 
      9282      10300      10211      20111         90          0      20138 
      9257      10265      10211      20111         93          2      20126 
      9316      10372      10211      20111         94          1      20133 
      9537      10614      10211      20113         98          2      20133 
      9314      10359      10211      20115         95          1      20127 


Latency with memory operand insertps  / movss

     Clock   Core cyc   Instruct   uops RAT       Uops     uop p0   Mov elim 
     61506      74653      20211      30119      40111          0          0 
     61502      74716      20211      30118      40111          0          0 
     61780      74992      20211      30128      40111          0          0 
     61589      74715      20211      30136      40111          0          0 
     61761      74994      20211      30111      40111          0          0 
     61512      74715      20211      30111      40111          0          0 
     61805      74992      20211      30111      40111          0          0 
     61569      74715      20211      30111      40111          0          0 
     61738      74993      20211      30111      40111          0          0 
     61535      74715      20211      30111      40111          0          0 


Latency vinsertps xmm,xmm,i

     Clock   Core cyc   Instruct   uops RAT       Uops     uop p0   Mov elim 
      8644      10190      10211      10123      10111          0          0 
      8481       9990      10211      10115      10111          0          0 
      8491       9991      10211      10144      10111          0          0 
      8501       9990      10211      10119      10111          0          0 
      8500       9989      10211      10119      10111          0          0 
      8493       9990      10211      10119      10111          0          0 
      8483       9989      10211      10119      10111          0          0 
      8473       9991      10211      10119      10111          0          0 
      8463       9989      10211      10119      10111          0          0 
      8473       9992      10211      10119      10111          0          0 


Throughput vinsertps xmm,

     Clock   Core cyc   Instruct       Uops     uop p0     uop p1     uop p2 
      9335      10995      10211      10111          0          0          0 
      8478       9992      10211      10111          0          0          0 
      8466       9988      10211      10111          0          0          0 
      8474       9992      10211      10111          0          0          0 
      8480       9989      10211      10111          0          0          0 
      8494       9989      10211      10111          0          0          0 
      8500       9989      10211      10111          0          0          0 
      8506       9989      10211      10111          0          0          0 
      8492       9989      10211      10111          0          0          0 
      8484       9989      10211      10111          0          0          0 

     Clock   Core cyc   Instruct       Uops     uop p3     uop p4     uop p5 
      8949      10205      10211      10111          0          0      10001 
      8752       9990      10211      10111          0          0      10001 
      8745       9990      10211      10111          0          0      10001 
      8741       9989      10211      10111          0          0      10001 
      8753       9989      10211      10111          0          0      10001 
      8761       9989      10211      10111          0          0      10001 
      8772       9989      10211      10111          0          0      10001 
      8778       9989      10211      10111          0          0      10001 
      8770       9989      10211      10111          0          0      10001 
      8759       9989      10211      10111          0          0      10001 

     Clock   Core cyc   Instruct       Uops     uop p6     uop p7   uops RAT 
      8941      10184      10211      10111        105          0      10132 
      8776       9989      10211      10111        100          0      10115 
      8768       9989      10211      10111        100          0      10115 
      8759       9990      10211      10111        109          0      10135 
      8749       9991      10211      10111        110          0      10140 
      8741       9992      10211      10111        110          0      10140 
      8743       9989      10211      10111        100          0      10115 
      8754       9990      10211      10111        100          0      10115 
      8757       9989      10211      10111        100          0      10115 
      8767       9989      10211      10111        100          0      10115 


With memory operand: vinsertps m128

     Clock   Core cyc   Instruct       Uops     uop p0     uop p1     uop p2 
      8956      10222      10211      20111          0          0       5003 
      8762       9992      10211      20111          0          0       5001 
      8769       9993      10211      20111          0          0       5003 
      8777       9994      10211      20111          0          0       5003 
      8772       9995      10211      20111          0          0       5003 
      8762       9996      10211      20111          0          0       5004 
      8750       9995      10211      20111          0          0       5003 
      8742       9994      10211      20111          0          0       5003 
